"filename", "language", "JavaScript", "JavaScript JSX", "CSS", "comment", "blank", "total"
"d:\Projects\plumber\src\App.css", "CSS", 0, 0, -25, 5, 3, -17
"d:\Projects\plumber\src\Components\About\BasicInfo.jsx", "JavaScript JSX", 0, -1, 0, 2, 0, 1
"d:\Projects\plumber\src\Components\About\FanFacts.jsx", "JavaScript JSX", 0, 12, 0, 4, 0, 16
"d:\Projects\plumber\src\Components\About\HappyClients.jsx", "JavaScript JSX", 0, 5, 0, 2, 1, 8
"d:\Projects\plumber\src\Components\About\OurTeam.jsx", "JavaScript JSX", 0, -28, 0, 4, -1, -25
"d:\Projects\plumber\src\Components\Blogs\Blog.jsx", "JavaScript JSX", 0, 1, 0, 4, 2, 7
"d:\Projects\plumber\src\Components\Blogs\BlogDetail.jsx", "JavaScript JSX", 0, -92, 0, 1, -5, -96
"d:\Projects\plumber\src\Components\Blogs\Blogs.jsx", "JavaScript JSX", 0, 22, 0, 2, 4, 28
"d:\Projects\plumber\src\Components\Blogs\BlogsForHomePage\Blog.jsx", "JavaScript JSX", 0, -27, 0, 27, 0, 0
"d:\Projects\plumber\src\Components\Blogs\BlogsForHomePage\Blogs.jsx", "JavaScript JSX", 0, -30, 0, 27, -1, -4
"d:\Projects\plumber\src\Components\Blogs\LatestBlogs.jsx", "JavaScript JSX", 0, -1, 0, 4, 2, 5
"d:\Projects\plumber\src\Components\ContactForm.jsx", "JavaScript JSX", 0, -157, 0, 0, -3, -160
"d:\Projects\plumber\src\Components\Contact\ContactForm.jsx", "JavaScript JSX", 0, 168, 0, 10, 9, 187
"d:\Projects\plumber\src\Components\Demo.jsx", "JavaScript JSX", 0, -23, 0, 0, -1, -24
"d:\Projects\plumber\src\Components\Home\FunFacts.jsx", "JavaScript JSX", 0, 0, 0, 4, 3, 7
"d:\Projects\plumber\src\Components\Home\HeroSection.jsx", "JavaScript JSX", 0, 6, 0, 4, 2, 12
"d:\Projects\plumber\src\Components\Home\OurApproach.jsx", "JavaScript JSX", 0, 1, 0, 2, 0, 3
"d:\Projects\plumber\src\Components\Home\ServicesSlider.jsx", "JavaScript JSX", 0, -66, 0, 6, 0, -60
"d:\Projects\plumber\src\Components\NavbarForPhone.jsx", "JavaScript JSX", 0, 131, 0, 7, 8, 146
"d:\Projects\plumber\src\Components\Pricing\HappyClients.jsx", "JavaScript JSX", 0, -23, 0, 2, 0, -21
"d:\Projects\plumber\src\Components\Pricing\PricingTabs.jsx", "JavaScript JSX", 0, -180, 0, 1, 1, -178
"d:\Projects\plumber\src\Components\Services\AllServices.jsx", "JavaScript JSX", 0, -1, 0, 2, 0, 1
"d:\Projects\plumber\src\Components\Services\Service.jsx", "JavaScript JSX", 0, -1, 0, 6, 4, 9
"d:\Projects\plumber\src\Components\Services\ServiceDetail.jsx", "JavaScript JSX", 0, 4, 0, 14, 8, 26
"d:\Projects\plumber\src\Components\Shared\Breadcrumb.jsx", "JavaScript JSX", 0, -19, 0, 0, -2, -21
"d:\Projects\plumber\src\Components\Shared\FAQ.jsx", "JavaScript JSX", 0, -22, 0, 5, -9, -26
"d:\Projects\plumber\src\Components\Shared\Footer.jsx", "JavaScript JSX", 0, -1, 0, 5, -7, -3
"d:\Projects\plumber\src\Components\Shared\JsonData.jsx", "JavaScript JSX", 0, -153, 0, -1, -12, -166
"d:\Projects\plumber\src\Components\Shared\Location.jsx", "JavaScript JSX", 0, 0, 0, 9, 6, 15
"d:\Projects\plumber\src\Components\Shared\Navbar.jsx", "JavaScript JSX", 0, -28, 0, -114, -3, -145
"d:\Projects\plumber\src\Components\Shared\NotFound.jsx", "JavaScript JSX", 0, 27, 0, 1, 4, 32
"d:\Projects\plumber\src\Components\Shared\WhyChooseUs.jsx", "JavaScript JSX", 0, 0, 0, 4, 1, 5
"d:\Projects\plumber\src\Components\Team\Quote.jsx", "JavaScript JSX", 0, 4, 0, 3, 2, 9
"d:\Projects\plumber\src\Components\Team\TeamMembers.jsx", "JavaScript JSX", 0, 0, 0, 4, 3, 7
"d:\Projects\plumber\src\Layout\Root.jsx", "JavaScript JSX", 0, 2, 0, 0, -1, 1
"d:\Projects\plumber\src\Pages\About\About.jsx", "JavaScript JSX", 0, -1, 0, 2, 0, 1
"d:\Projects\plumber\src\Pages\BlogDetails\BlogDetails.jsx", "JavaScript JSX", 0, 0, 0, 1, 0, 1
"d:\Projects\plumber\src\Pages\Blog\Blog.jsx", "JavaScript JSX", 0, -1, 0, 1, 0, 0
"d:\Projects\plumber\src\Pages\Contact\Contact.jsx", "JavaScript JSX", 0, 0, 0, 2, 0, 2
"d:\Projects\plumber\src\Pages\Home\Home.jsx", "JavaScript JSX", 0, 0, 0, 1, 0, 1
"d:\Projects\plumber\src\Pages\Pricing\Pricing.jsx", "JavaScript JSX", 0, 0, 0, 2, 0, 2
"d:\Projects\plumber\src\Pages\Services\ServiceDetails.jsx", "JavaScript JSX", 0, 0, 0, 1, 0, 1
"d:\Projects\plumber\src\Pages\Services\Services.jsx", "JavaScript JSX", 0, 0, 0, 1, 0, 1
"d:\Projects\plumber\src\Pages\Team\Team.jsx", "JavaScript JSX", 0, -1, 0, 2, 1, 2
"d:\Projects\plumber\src\Router\Router.jsx", "JavaScript JSX", 0, 1, 0, 0, -1, 0
"d:\Projects\plumber\tailwind.config.js", "JavaScript", 1, 0, 0, 0, 0, 1
"Total", "-", 1, -472, -25, 69, 18, -409